rho,v0,seed,N,L,status,final_step,n_samples,mean_A,mean_K,mean_B,mean_f_giant,mean_n_clusters,mean_mean_size,mean_mean_rg,mean_mean_anisotropy,mean_mean_lifetime,mean_mean_com_speed
0.1,0.05,3,180,42.42640687119285,died,3500,34,0.008823529411764704,0.01045047105525553,0.04850606909430438,0.027287581699346405,104.70588235294117,1.7277640383624195,0.23538057763027886,0.9527772918720981,59.42461082092524,0.017852783556410446
0.1,0.05,0,180,42.42640687119285,died,5500,54,0.007671957671957671,0.007845088902733059,0.0385949441504997,0.02777777777777777,101.0,1.7883226750115797,0.24452326238612473,0.9258453925644998,91.62342746028216,0.013726208996302107
0.1,0.05,7,180,42.42640687119285,died,3000,29,0.010727969348659,0.011152285546185149,0.049096880131362874,0.0260536398467433,113.06896551724138,1.5955676973175026,0.2187927469769857,0.9655071555046947,51.62659412893977,0.015452448381669726
0.1,0.05,6,180,42.42640687119285,died,3500,34,0.010971055088702145,0.013620107177998539,0.057142857142857134,0.03300653594771242,101.26470588235294,1.7901212343106059,0.2509281145752946,0.9289763721856885,57.89401499100647,0.022528529167886276
0.1,0.05,4,180,42.42640687119285,died,4500,44,0.01284271284271284,0.014596267382140638,0.06360028860028859,0.025252525252525245,104.1590909090909,1.7357062571168156,0.24902155838675014,0.9607936214477089,74.2499171151259,0.024011046704453285
0.1,0.05,5,180,42.42640687119285,died,3500,34,0.014285714285714284,0.013991486892660403,0.06647992530345471,0.032679738562091505,98.11764705882354,1.8444625783553523,0.24435965352151304,0.9632310990311145,57.355551655753274,0.023151829909233618
0.1,0.05,9,180,42.42640687119285,died,3500,34,0.013258636788048549,0.015823955912553218,0.07082166199813257,0.032679738562091505,105.1470588235294,1.7209346615949779,0.24149138323959196,0.9485103579387735,57.85134916758972,0.023348065489894175
0.1,0.05,8,180,42.42640687119285,died,4000,39,0.012087912087912085,0.012144951533734124,0.053846153846153835,0.02635327635327635,107.2051282051282,1.6878678228666,0.24081829750953113,0.9703317331503101,67.60025002529667,0.022881111946437067
0.1,0.05,13,180,42.42640687119285,died,2500,24,0.007275132275132275,0.011250174869247632,0.042460317460317455,0.02754629629629629,108.125,1.6745762510394606,0.2291725039328972,0.9665965617892617,43.386527161023764,0.015726384259424006
0.1,0.05,10,180,42.42640687119285,died,4000,39,0.013797313797313793,0.013140912198612686,0.06593406593406592,0.026923076923076925,107.84615384615384,1.6738160667765323,0.24506734349692344,0.9620282039975527,66.62116526076883,0.017394845915610503
0.1,0.05,12,180,42.42640687119285,died,4000,39,0.007814407814407813,0.010575131413133536,0.04802604802604801,0.03376068376068378,99.61538461538461,1.8225557148853573,0.24875119464453904,0.9273830033667636,67.55321535305939,0.016283688528839834
